Internal ID,Cloudinary_1,Cloudinary_2,Cloudinary_3,Cloudinary_4,SKU
11745,https://res.cloudinary.com/dpsxriusj/image/upload/v1742090035/1062MF.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742082415/1062MF_2.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742082082/1062MF_3.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742080653/1062MF_4.jpg,1062MF
9853,https://res.cloudinary.com/dpsxriusj/image/upload/v1742082125/1080.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742079496/1080_2.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742079683/1080_3.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742081259/1080_4.jpg,1080
9854,https://res.cloudinary.com/dpsxriusj/image/upload/v1742082431/1081.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742076454/1081_2.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742077363/1081_3.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742078349/1081_4.jpg,1081
11746,https://res.cloudinary.com/dpsxriusj/image/upload/v1742087405/1080MF.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742087871/1080MF_2.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742087506/1080MF_3.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742089760/1080MF_4.jpg,1080MF
9855,https://res.cloudinary.com/dpsxriusj/image/upload/v1742082123/1094.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742088568/1094_2.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742088755/1094_3.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742086708/1094_4.jpg,1094
11748,https://res.cloudinary.com/dpsxriusj/image/upload/v1742082001/1094MF.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742076521/1094MF_2.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742077300/1094MF_3.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742078387/1094MF_4.jpg,1094MF
9856,https://res.cloudinary.com/dpsxriusj/image/upload/v1742082409/1095.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742085416/1095_2.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742086276/1095_3.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742083668/1095_4.jpg,1095
11747,https://res.cloudinary.com/dpsxriusj/image/upload/v1742083014/1081MF.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742088659/1081MF_2.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742088629/1081MF_3.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742086810/1081MF_4.jpg,1081MF
9857,https://res.cloudinary.com/dpsxriusj/image/upload/v1742083009/1098.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742077063/1098_2.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742076761/1098_3.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742078862/1098_4.jpg,1098
11749,https://res.cloudinary.com/dpsxriusj/image/upload/v1742077713/1095MF.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742077626/1095MF_2.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742078080/1095MF_3.jpg,https://res.cloudinary.com/dpsxriusj/image/upload/v1742075817/1095MF_4.jpg,1095MF
